sigla,grupo,pdf_diretivo,pdf_entregas,entregas_extraidas,riscos_extraidos,status_entregas,status_riscos
ABIN,,nao,sim,5,0,ok,sem_pdf
AEB,,sim,sim,53,12,ok,ok
AGU,,sim,sim,0,0,scan_ou_formato,scan
ANA,,sim,sim,38,4,ok,ok
ANAC,,sim,sim,76,5,ok,ok
ANATEL,,sim,sim,54,3,ok,ok
ANCINE,,sim,sim,96,11,ok,ok
ANEEL,,sim,sim,53,4,ok,ok
ANM,,sim,sim,300,18,ok,ok
ANPD,,sim,sim,23,12,ok,ok
ANS,,sim,sim,21,13,ok,ok
ANTAQ,,sim,sim,38,8,ok,ok
ANTT,MT,nao,sim,51,0,ok,sem_pdf
ANVISA,,sim,sim,344,0,ok,scan
BCB,,sim,sim,72,5,ok,ok
CADE,,sim,sim,39,5,ok,ok
CAPES,MEC,sim,sim,114,3,ok,ok
CENSIPAM,MD,sim,sim,86,26,ok,ok
CEX,MD,sim,sim,86,26,ok,ok
CGU,,sim,sim,10,9,ok,ok
CM,MD,sim,sim,86,26,ok,ok
CNPQ,,sim,sim,19,1,ok,ok
COAF,,sim,sim,17,11,ok,ok
CODEVASF,MIDR,sim,sim,0,0,scan_ou_formato,scan
COMAER,MD,sim,sim,86,26,ok,ok
CONAB,MDA,sim,sim,6,3,ok,ok
CVM,,sim,sim,12,6,ok,ok
DNIT,MT,nao,sim,51,0,ok,sem_pdf
DNOCS,,sim,sim,48,1,ok,ok
EBSERH,MEC,sim,sim,114,3,ok,ok
FBN,,sim,sim,42,0,ok,scan
FCP,,sim,sim,10,0,ok,scan
FCRB,,sim,sim,26,14,ok,ok
FIOCRUZ,,sim,sim,54,6,ok,ok
FNDE,MEC,sim,sim,114,3,ok,ok
FOSORIO,MD,sim,sim,86,26,ok,ok
FUNAI,,sim,sim,0,0,scan_ou_formato,scan
FUNARTE,,sim,sim,43,9,ok,ok
FUNDACENTRO,,sim,sim,0,2,scan_ou_formato,ok
FUNDAJ,MEC,sim,sim,114,3,ok,ok
HFA,MD,sim,sim,86,26,ok,ok
IBAMA,MMA,sim,sim,144,6,ok,ok
IBC,MEC,sim,sim,114,3,ok,ok
IBGE,,sim,sim,24,19,ok,ok
ICMBIO,MMA,sim,sim,144,6,ok,ok
INCRA,,sim,sim,0,0,scan_ou_formato,scan
INEP,MEC,sim,sim,114,3,ok,ok
INES,MEC,sim,sim,114,3,ok,ok
INPI,,sim,sim,96,2,ok,ok
INSS,,sim,sim,40,20,ok,ok
IPHAN,,sim,sim,70,14,ok,ok
ITI,,sim,sim,0,0,scan_ou_formato,scan
JBRJ,MMA,sim,sim,144,6,ok,ok
MAPA,,sim,sim,120,0,ok,scan
MCOM,,sim,sim,0,0,scan_ou_formato,scan
MCTI,,sim,sim,32,15,ok,ok
MD,,sim,sim,86,26,ok,ok
MDA,,sim,sim,6,3,ok,ok
MDHC,,sim,sim,77,2,ok,ok
MDIC,,nao,sim,49,0,ok,sem_pdf
MEC,,sim,sim,114,3,ok,ok
MEMP,,sim,sim,46,10,ok,ok
MESP,,sim,sim,30,1,ok,ok
MF,,sim,sim,28,7,ok,ok
MGI,,sim,sim,169,29,ok,ok
MIDR,,sim,sim,0,0,scan_ou_formato,scan
MINC,,sim,sim,66,4,ok,ok
MJSP,,sim,sim,106,9,ok,ok
MMA,,sim,sim,144,6,ok,ok
MME,,sim,sim,59,1,ok,ok
MMULHERES,,sim,sim,19,41,ok,ok
MPI,,sim,sim,42,5,ok,ok
MPO,,sim,sim,13,9,ok,ok
MPOR,,sim,sim,33,1,ok,ok
MPS,,sim,sim,46,5,ok,ok
MRE,,sim,sim,31,10,ok,ok
MT,,nao,sim,51,0,ok,sem_pdf
MTE,,sim,sim,38,6,ok,ok
MTUR,,sim,sim,86,5,ok,ok
PF,,sim,sim,160,16,ok,ok
PGFN,MF,sim,sim,213,7,ok,ok
PREVIC,,sim,sim,106,0,ok,scan
PRF,,sim,sim,164,5,ok,ok
RFB,MF,sim,sim,213,7,ok,ok
SFB,MMA,sim,sim,144,6,ok,ok
SGPR,,sim,sim,0,3,scan_ou_formato,ok
STN,MF,sim,sim,213,7,ok,ok
SUDAM,MIDR,sim,sim,0,0,scan_ou_formato,scan
SUDECO,MIDR,sim,sim,0,0,scan_ou_formato,scan
SUDENE,MIDR,sim,sim,0,0,scan_ou_formato,scan
SUSEP,,sim,sim,11,9,ok,ok
