orgao_sigla,servico_acao,produto_original,produto_normalizado,produto_score,eixo_original,eixo_normalizado,data_pactuada,confidence
ABIN,"P2 - Transformar serviço de comunicação em comunicação segura de Estado, criando app iOS e Android a ser oferecido na loja Governo do Brasil",Evolução do Serviço,Evolução do Serviço,1.0,Serviços Digitais e Melhoria da Qualidade,Serviços Digitais e Melhoria da Qualidade,mar. 2025 (v2),high
ABIN,P2 - Inserir app de comunicação segura na loja Governo do Brasil,Migração de APPs móveis para a loja do Gov.br,Migração de APPs móveis para a loja do Gov.br,1.0,Unificação de Canais Digitais,Unificação de Canais Digitais,mar. 2025,high
ABIN,P2 - Implantar o login único para app de comunicação segura,Integração ao Login Único,Integração ao Login Único,1.0,Unificação de Canais Digitais,Unificação de Canais Digitais,mar. 2025,high
ABIN,P1 - Implantar o login único para Plataforma Sisbin,Integração ao Login Único,Integração ao Login Único,1.0,Unificação de Canais Digitais,Unificação de Canais Digitais,dez. 2025 (v1),high
ABIN,P1 - Implantar ferramenta (desenvolvida internamente pela ABIN) de avaliação de satisfação dos produtos de inteligência na Plataforma Sisbin,Integração à ferramenta de avaliação da satisfação dos usuários,Integração à ferramenta de avaliação da satisfação dos usuários,1.0,Serviços Digitais e Melhoria da Qualidade,Serviços Digitais e Melhoria da Qualidade,out. 2025,high
ABIN,,Integração à ferramenta de avaliação da satisfação dos usuários,Integração à ferramenta de avaliação da satisfação dos usuários,1.0,,,,high
ABIN,,Evolução do Serviço,Evolução do Serviço,1.0,,Serviços Digitais e Melhoria da Qualidade,,high
AEB,Cadastrar dados sobre atividades espaciais nacionais (Lei 14.946/2024),Disponibilização em Acesso Digital,Disponibilização em Acesso Digital,1.0,Serviços Digitais e Melhoria da Qualidade,Serviços Digitais e Melhoria da Qualidade,abr-25,high
AEB,Cadastrar dados sobre atividades espaciais nacionais (Lei 14.946/2024),Integração ao Login Único,Integração ao Login Único,1.0,Unificação de Canais Digitais,Unificação de Canais Digitais,mai-25,high
AEB,Cadastrar dados sobre atividades espaciais nacionais (Lei 14.946/2024),Integração à ferramenta de avaliação da satisfação dos usuários,Integração à ferramenta de avaliação da satisfação dos usuários,1.0,Serviços Digitais e Melhoria da Qualidade,Serviços Digitais e Melhoria da Qualidade,mai-25,high
AEB,Disponibilizar relatório com informações sobre atividades espaciais nacionais (Lei 14.946/2024),Disponibilização em Acesso Digital,Disponibilização em Acesso Digital,1.0,Serviços Digitais e Melhoria da Qualidade,Serviços Digitais e Melhoria da Qualidade,jul-25,high
AEB,Disponibilizar relatório com informações sobre atividades espaciais nacionais (Lei 14.946/2024),Integração ao Login Único,Integração ao Login Único,1.0,Unificação de Canais Digitais,Unificação de Canais Digitais,ago-25,high
AEB,Disponibilizar relatório com informações sobre atividades espaciais nacionais (Lei 14.946/2024),Integração à ferramenta de avaliação da satisfação dos usuários,Integração à ferramenta de avaliação da satisfação dos usuários,1.0,Serviços Digitais e Melhoria da Qualidade,Serviços Digitais e Melhoria da Qualidade,ago-25,high
AEB,Licenciar empresas para lançamentos espaciais,Disponibilização em Acesso Digital,Disponibilização em Acesso Digital,1.0,Serviços Digitais e Melhoria da Qualidade,Serviços Digitais e Melhoria da Qualidade,out-25,high
AEB,Licenciar empresas para lançamentos espaciais,Integração ao Login Único,Integração ao Login Único,1.0,Unificação de Canais Digitais,Unificação de Canais Digitais,nov-25,high
AEB,Licenciar empresas para lançamentos espaciais,Integração à ferramenta de avaliação da satisfação dos usuários,Integração à ferramenta de avaliação da satisfação dos usuários,1.0,Serviços Digitais e Melhoria da Qualidade,Serviços Digitais e Melhoria da Qualidade,nov-25,high
AEB,Autorizar lançamentos espaciais para empresas licenciadas,Disponibilização em Acesso Digital,Disponibilização em Acesso Digital,1.0,Serviços Digitais e Melhoria da Qualidade,Serviços Digitais e Melhoria da Qualidade,jan-26,high
AEB,Autorizar lançamentos espaciais para empresas licenciadas,Integração ao Login Único,Integração ao Login Único,1.0,Unificação de Canais Digitais,Unificação de Canais Digitais,fev-26,high
AEB,Autorizar lançamentos espaciais para empresas licenciadas,Integração à ferramenta de avaliação da satisfação dos usuários,Integração à ferramenta de avaliação da satisfação dos usuários,1.0,Serviços Digitais e Melhoria da Qualidade,Serviços Digitais e Melhoria da Qualidade,fev-26,high
AEB,Registrar objetos espaciais,Disponibilização em Acesso Digital,Disponibilização em Acesso Digital,1.0,Serviços Digitais e Melhoria da Qualidade,Serviços Digitais e Melhoria da Qualidade,abr-26,high
AEB,Registrar objetos espaciais,Integração ao Login Único,Integração ao Login Único,1.0,Unificação de Canais Digitais,Unificação de Canais Digitais,mai-26,high
AEB,Registrar objetos espaciais,Integração à ferramenta de avaliação da satisfação dos usuários,Integração à ferramenta de avaliação da satisfação dos usuários,1.0,Serviços Digitais e Melhoria da Qualidade,Serviços Digitais e Melhoria da Qualidade,mai-26,high
AEB,Registrar avistamentos de bólidos no céu brasileiro,Disponibilização em Acesso Digital,Disponibilização em Acesso Digital,1.0,Serviços Digitais e Melhoria da Qualidade,Serviços Digitais e Melhoria da Qualidade,jun-26,high
AEB,Registrar avistamentos de bólidos no céu brasileiro,Integração ao Login Único,Integração ao Login Único,1.0,Unificação de Canais Digitais,Unificação de Canais Digitais,jul-26,high
AEB,Registrar avistamentos de bólidos no céu brasileiro,Integração à ferramenta de avaliação da satisfação dos usuários,Integração à ferramenta de avaliação da satisfação dos usuários,1.0,Serviços Digitais e Melhoria da Qualidade,Serviços Digitais e Melhoria da Qualidade,jul-26,high
AEB,Cadastrar propostas e formalizar Termos de Execução Descentralizada (TED),Disponibilização em Acesso Digital,Disponibilização em Acesso Digital,1.0,Serviços Digitais e Melhoria da Qualidade,Serviços Digitais e Melhoria da Qualidade,ago-26,high
AEB,Cadastrar propostas e formalizar Termos de Execução Descentralizada (TED),Integração ao Login Único,Integração ao Login Único,1.0,Unificação de Canais Digitais,Unificação de Canais Digitais,set-26,high
AEB,Cadastrar propostas e formalizar Termos de Execução Descentralizada (TED),Integração à ferramenta de avaliação da satisfação dos usuários,Integração à ferramenta de avaliação da satisfação dos usuários,1.0,Serviços Digitais e Melhoria da Qualidade,Serviços Digitais e Melhoria da Qualidade,set-25,high
AEB,Publicizar dados de empresas espaciais brasileiras (Catálogo),Disponibilização em Acesso Digital,Disponibilização em Acesso Digital,1.0,Serviços Digitais e Melhoria da Qualidade,Serviços Digitais e Melhoria da Qualidade,out-25,high
AEB,Publicizar dados de empresas espaciais brasileiras (Catálogo),Integração ao Login Único,Integração ao Login Único,1.0,Unificação de Canais Digitais,Unificação de Canais Digitais,nov-25,high
AEB,Publicizar dados de empresas espaciais brasileiras (Catálogo),Integração à ferramenta de avaliação da satisfação dos usuários,Integração à ferramenta de avaliação da satisfação dos usuários,1.0,Serviços Digitais e Melhoria da Qualidade,Serviços Digitais e Melhoria da Qualidade,nov-25,high
AEB,Cadastrar dados de empresas espaciais brasileiras (Catálogo),Disponibilização em Acesso Digital,Disponibilização em Acesso Digital,1.0,Serviços Digitais e Melhoria da Qualidade,Serviços Digitais e Melhoria da Qualidade,mar-25,high
AEB,Cadastrar dados de empresas espaciais brasileiras (Catálogo),Integração ao Login Único,Integração ao Login Único,1.0,Unificação de Canais Digitais,Unificação de Canais Digitais,mar-25,high
AEB,Cadastrar dados de empresas espaciais brasileiras (Catálogo),Integração à ferramenta de avaliação da satisfação dos usuários,Integração à ferramenta de avaliação da satisfação dos usuários,1.0,Serviços Digitais e Melhoria da Qualidade,Serviços Digitais e Melhoria da Qualidade,mar-25,high
AEB,Cadastrar tecnologias espaciais brasileiras (Maptec),Disponibilização em Acesso Digital,Disponibilização em Acesso Digital,1.0,Serviços Digitais e Melhoria da Qualidade,Serviços Digitais e Melhoria da Qualidade,jun-25,high
AEB,Cadastrar tecnologias espaciais brasileiras (Maptec),Integração ao Login Único,Integração ao Login Único,1.0,Unificação de Canais Digitais,Unificação de Canais Digitais,jun-25,high
AEB,Cadastrar tecnologias espaciais brasileiras (Maptec),Integração à ferramenta de avaliação da satisfação dos usuários,Integração à ferramenta de avaliação da satisfação dos usuários,1.0,Serviços Digitais e Melhoria da Qualidade,Serviços Digitais e Melhoria da Qualidade,jun-25,high
AEB,Publicizar dados de maturidade tecnológica com elementos gráficos (Maptec),Disponibilização em Acesso Digital,Disponibilização em Acesso Digital,1.0,Serviços Digitais e Melhoria da Qualidade,Serviços Digitais e Melhoria da Qualidade,jul-25,high
AEB,Publicizar dados de maturidade tecnológica com elementos gráficos (Maptec),Integração ao Login Único,Integração ao Login Único,1.0,Unificação de Canais Digitais,Unificação de Canais Digitais,ago-25,high
AEB,Publicizar dados de maturidade tecnológica com elementos gráficos (Maptec),Integração à ferramenta de avaliação da satisfação dos usuários,Integração à ferramenta de avaliação da satisfação dos usuários,1.0,Serviços Digitais e Melhoria da Qualidade,Serviços Digitais e Melhoria da Qualidade,set-25,high
AEB,Cadastrar entrada de servidor/colaborador,Disponibilização em Acesso Digital,Disponibilização em Acesso Digital,1.0,Serviços Digitais e Melhoria da Qualidade,Serviços Digitais e Melhoria da Qualidade,jan-27,high
AEB,Cadastrar entrada de servidor/colaborador,Integração ao Login Único,Integração ao Login Único,1.0,Unificação de Canais Digitais,Unificação de Canais Digitais,jan-27,high
AEB,Cadastrar entrada de servidor/colaborador,Integração à ferramenta de avaliação da satisfação dos usuários,Integração à ferramenta de avaliação da satisfação dos usuários,1.0,Serviços Digitais e Melhoria da Qualidade,Serviços Digitais e Melhoria da Qualidade,jan-27,high
AEB,Cadastar saída de servidor/colaborador,Disponibilização em Acesso Digital,Disponibilização em Acesso Digital,1.0,Serviços Digitais e Melhoria da Qualidade,Serviços Digitais e Melhoria da Qualidade,jan-27,high
AEB,Cadastar saída de servidor/colaborador,Integração ao Login Único,Integração ao Login Único,1.0,Unificação de Canais Digitais,Unificação de Canais Digitais,jan-27,high
AEB,Cadastar saída de servidor/colaborador,Integração à ferramenta de avaliação da satisfação dos usuários,Integração à ferramenta de avaliação da satisfação dos usuários,1.0,Serviços Digitais e Melhoria da Qualidade,Serviços Digitais e Melhoria da Qualidade,jan-27,high
AEB,PPSI Ciclo 4,Implementação do PPSI,Implementação do PPSI,1.0,Segurança e Privacidade,Segurança e Privacidade,30/06/2025,high
AEB,PPSI Ciclo 5,"Auto-avaliação, análise de lacunas e planejamento do PPSI","Auto-avaliação, análise de lacunas e planejamento do PPSI",1.0,Segurança e Privacidade,Segurança e Privacidade,01/07/2025,high
AEB,PPSI Ciclo 5,Implementação do PPSI,Implementação do PPSI,1.0,Segurança e Privacidade,Segurança e Privacidade,31/12/2025,high
AEB,PPSI Ciclo 6,"Auto-avaliação, análise de lacunas e planejamento do PPSI","Auto-avaliação, análise de lacunas e planejamento do PPSI",1.0,Segurança e Privacidade,Segurança e Privacidade,31/01/2026,high
AEB,PPSI Ciclo 6,Implementação do PPSI,Implementação do PPSI,1.0,Segurança e Privacidade,Segurança e Privacidade,30/06/2026,high
AEB,PPSi Ciclo 7,"Auto-avaliação, análise de lacunas e planejamento do PPSI","Auto-avaliação, análise de lacunas e planejamento do PPSI",1.0,Segurança e Privacidade,Segurança e Privacidade,01/07/2026,high
AEB,PPSI Ciclo 7,Implementação do PPSI,Implementação do PPSI,1.0,Segurança e Privacidade,Segurança e Privacidade,31/12/2026,high
AEB,,"Auto-avaliação, análise de lacunas e planejamento do PPSI","Auto-avaliação, análise de lacunas e planejamento do PPSI",1.0,Segurança e Privacidade,Segurança e Privacidade,03/10/2023,high
AEB,,Implementação do PPSI,Implementação do PPSI,1.0,Segurança e Privacidade,Segurança e Privacidade,31/12/2023,high
AEB,,"Auto-avaliação, análise de lacunas e planejamento do PPSI","Auto-avaliação, análise de lacunas e planejamento do PPSI",1.0,Segurança e Privacidade,Segurança e Privacidade,31/01/2024,high
AEB,,Implementação do PPSI,Implementação do PPSI,1.0,Segurança e Privacidade,Segurança e Privacidade,30/06/2024,high
AEB,,"Auto-avaliação, análise de lacunas e planejamento do PPSI","Auto-avaliação, análise de lacunas e planejamento do PPSI",1.0,Segurança e Privacidade,Segurança e Privacidade,01/07/2024,high
AEB,,Implementação do PPSI,Implementação do PPSI,1.0,Segurança e Privacidade,Segurança e Privacidade,31/12/2024,high
AEB,,"Auto-avaliação, análise de lacunas e planejamento do PPSI","Auto-avaliação, análise de lacunas e planejamento do PPSI",1.0,Segurança e Privacidade,Segurança e Privacidade,15/02/2025,high
ANAC,Superapp - Emitir de confirmação de aprovação de exames teóricos,Migração de Serviço para Plataforma Unificada,Migração de Serviço para Plataforma Unificada,1.0,Serviços Digitais e Melhoria da Qualidade,Unificação de Canais Digitais,31/12/2025,high
ANAC,"Superapp - Obter licença para exercer a atividade de Piloto Comercial - Avião (PCM), Heli",Evolução do Serviço,Evolução do Serviço,1.0,Serviços Digitais e Melhoria da Qualidade,Serviços Digitais e Melhoria da Qualidade,30/11/2025,high
ANAC,Qualificação/Designação de Representantes de aerodromos,Disponibilização em Acesso Digital,Disponibilização em Acesso Digital,1.0,Serviços Digitais e Melhoria da Qualidade,Serviços Digitais e Melhoria da Qualidade,30/12/2025,high
ANAC,Certificar-se para explorar serviços aéreos públicos de acordo com o RBAC 135,Evolução do Serviço,Evolução do Serviço,1.0,Serviços Digitais e Melhoria da Qualidade,Serviços Digitais e Melhoria da Qualidade,30/12/2025,high
ANAC,Nova jornada certificação 145,Evolução do Serviço,Evolução do Serviço,1.0,Serviços Digitais e Melhoria da Qualidade,Serviços Digitais e Melhoria da Qualidade,30/03/2026,high
ANAC,Bot de assistencia as normas com IA certificação 145,Evolução do Serviço,Evolução do Serviço,1.0,Serviços Digitais e Melhoria da Qualidade,Serviços Digitais e Melhoria da Qualidade,30/03/2026,high
ANAC,Pre analise do manual Manual Geral de Operações com IA (MVP),Evolução do Serviço,Evolução do Serviço,1.0,Serviços Digitais e Melhoria da Qualidade,Serviços Digitais e Melhoria da Qualidade,30/12/2025,high
ANAC,Pre analise de manuais com IA escalonado para todos os manuais,Evolução do Serviço,Evolução do Serviço,1.0,Serviços Digitais e Melhoria da Qualidade,Serviços Digitais e Melhoria da Qualidade,31/12/2025,high
ANAC,Chat bot de acesso a carta de serviços da ANAC com IA,Disponibilização em Acesso Digital,Disponibilização em Acesso Digital,1.0,Serviços Digitais e Melhoria da Qualidade,Serviços Digitais e Melhoria da Qualidade,31/12/2025,high
ANAC,Assistência de IA na Plataforma de Reclamação de Passageiros,Disponibilização em Acesso Digital,Disponibilização em Acesso Digital,1.0,Serviços Digitais e Melhoria da Qualidade,Serviços Digitais e Melhoria da Qualidade,30/06/2026,high
ANAC,ANAC Pay - Parcelar débitos junto à ANAC,Disponibilização em Acesso Digital,Disponibilização em Acesso Digital,1.0,Serviços Digitais e Melhoria da Qualidade,Serviços Digitais e Melhoria da Qualidade,30/12/2025,high
ANAC,ANAC Pay - Parcelar débitos junto à ANAC,Integração ao Login Único,Integração ao Login Único,1.0,Unificação de Canais Digitais,Unificação de Canais Digitais,30/12/2025,high
ANAC,ANAC Pay - Parcelar débitos junto à ANAC,Integração ao Pagtesouro,Integração ao Pagtesouro,1.0,Unificação de Canais Digitais,Unificação de Canais Digitais,30/12/2025,high
ANAC,ANAC Pay - Obter restituição de multa junto à ANAC,Disponibilização em Acesso Digital,Disponibilização em Acesso Digital,1.0,Serviços Digitais e Melhoria da Qualidade,Serviços Digitais e Melhoria da Qualidade,30/12/2025,high
ANAC,ANAC Pay - Obter restituição de multa junto à ANAC,Integração ao Login Único,Integração ao Login Único,1.0,Unificação de Canais Digitais,Unificação de Canais Digitais,30/12/2025,high
ANAC,ANAC Pay - Obter restituição de multa junto à ANAC,Integração ao Pagtesouro,Integração ao Pagtesouro,1.0,Unificação de Canais Digitais,Unificação de Canais Digitais,30/12/2025,high
ANAC,Emitir Certidão de Nada Consta de Multas perante a Anac - ANAC Pay,Implantação do Design System,Implantação do Design System,1.0,Unificação de Canais Digitais,Unificação de Canais Digitais,30/12/2025,high
ANAC,Obter restituição de multa junto à ANAC,Integração à ferramenta de avaliação da satisfação dos usuár,Integração à ferramenta de avaliação da satisfação dos usuários,0.976,iServiços Digitais e Melhoria da Qualidade,Serviços Digitais e Melhoria da Qualidade,30/12/2025,high
ANAC,Integração de avaliação - Parcelar débitos junto à ANAC,Integração à ferramenta de avaliação da satisfação dos usuár,Integração à ferramenta de avaliação da satisfação dos usuários,0.976,iServiços Digitais e Melhoria da Qualidade,Serviços Digitais e Melhoria da Qualidade,30/12/2025,high
ANAC,Remodelação do serviço na Plataforma PEL - Cadastrar-se como aerodesportista,Evolução do Serviço,Evolução do Serviço,1.0,Serviços Digitais e Melhoria da Qualidade,Serviços Digitais e Melhoria da Qualidade,30/12/2025,high
ANAC,Obter licença para exercer a atividade de Piloto de Linha Aérea - Avião (PLA) ou Helicópte,Migração de Serviço para Plataforma Unificada,Migração de Serviço para Plataforma Unificada,1.0,Unificação de Canais Digitais,Unificação de Canais Digitais,30/03/2026,high
ANAC,Obter licença para exercer a atividade de Mecânico de Manutenção Aeronáutica - dispon,Migração de Serviço para Plataforma Unificada,Migração de Serviço para Plataforma Unificada,1.0,Unificação de Canais Digitais,Unificação de Canais Digitais,30/06/2026,high
ANAC,Obter licença para exercer a atividade de comissário de voo - disponibilização no Supera,pMigração de Serviço para Plataforma Unificada,Migração de Serviço para Plataforma Unificada,0.989,Unificação de Canais Digitais,Unificação de Canais Digitais,30/09/2026,high
ANAC,Superapp- Cadastrar drone básico,Migração de Serviço para Plataforma Unificada,Migração de Serviço para Plataforma Unificada,1.0,Unificação de Canais Digitais,Unificação de Canais Digitais,30/12/2025,high
ANAC,Superapp - Consultar regularidade de táxi-aereo ( Voe Seguro),Migração de Serviço para Plataforma Unificada,Migração de Serviço para Plataforma Unificada,1.0,Unificação de Canais Digitais,Unificação de Canais Digitais,30/12/2025,high
ANAC,Superapp - Consultar Registro (RAB),Migração de Serviço para Plataforma Unificada,Migração de Serviço para Plataforma Unificada,1.0,Unificação de Canais Digitais,Unificação de Canais Digitais,30/12/2025,high
ANAC,Registrar direito sobre aeronave,Evolução do Serviço,Evolução do Serviço,1.0,Serviços Digitais e Melhoria da Qualidade,Serviços Digitais e Melhoria da Qualidade,30/12/2025,high
ANAC,Interoperabilidade com DPF - SISMIGRA (Sistema de Registro Nacional Migratório),Integração à base de dados (OUTROS),Integração à base de dados,0.852,Governança e Gestão de Dados,Governança e Gestão de Dados,23/12/2025,medium
ANAC,Interoperabilidade com ANATEL - RAB,Integração à base de dados (OUTROS),Integração à base de dados,0.852,Governança e Gestão de Dados,Governança e Gestão de Dados,23/12/2025,medium
ANAC,Interoperabilidade com ANATEL - LICENÇA DE ESTAÇÃO aeronaves (ANATEL),Integração à base de dados (OUTROS),Integração à base de dados,0.852,Governança e Gestão de Dados,Governança e Gestão de Dados,23/12/2025,medium
ANAC,Interoperabilidade com SUSEP (Seguro RETA),Integração à base de dados (OUTROS),Integração à base de dados,0.852,Governança e Gestão de Dados,Governança e Gestão de Dados,12/06/2026,medium
ANAC,Interoperabilidade com EMPRESAS AÉREAS,Integração à base de dados (OUTROS),Integração à base de dados,0.852,Governança e Gestão de Dados,Governança e Gestão de Dados,28/04/2026,medium
ANAC,Interoperabilidade com OPERADORES AEROPORTUÁRIOS (Pousos e Decolagens),Integração à base de dados (OUTROS),Integração à base de dados,0.852,Governança e Gestão de Dados,Governança e Gestão de Dados,30/03/2026,medium
ANAC,Interoperabilidade com ENAP (EVG),Integração à base de dados (OUTROS),Integração à base de dados,0.852,Governança e Gestão de Dados,Governança e Gestão de Dados,30/11/2025,medium
ANAC,Interoperabilidade com CREA (Anotação de Responsabilidade Técnica ARTT por UF),Integração à base de dados (OUTROS),Integração à base de dados,0.852,Governança e Gestão de Dados,Governança e Gestão de Dados,30/03/2026,medium
ANAC,Interoperabilidade com CENTROS DE TREINAMENTO,Integração à base de dados (OUTROS),Integração à base de dados,0.852,Governança e Gestão de Dados,Governança e Gestão de Dados,30/02/2026 30/12/2026,medium
ANAC,Interoperabilidade DECEA,Integração à base de dados (OUTROS),Integração à base de dados,0.852,Governança e Gestão de Dados,Governança e Gestão de Dados,,medium
ANAC,PPSI Ciclo 4,Implementação do PPSI,Implementação do PPSI,1.0,Segurança e Privacidade,Segurança e Privacidade,30/12/2025,high
ANAC,PPSI Ciclo 5,Implementação do PPSI,Implementação do PPSI,1.0,Segurança e Privacidade,Segurança e Privacidade,30/03/2026,high
ANAC,PPSI Ciclo 6,"Auto-avaliação, análise de lacunas e planejamento do PPSI","Auto-avaliação, análise de lacunas e planejamento do PPSI",1.0,Segurança e Privacidade,Segurança e Privacidade,28/02/2026,high
ANAC,PPSI Ciclo 6,Implementação do PPSI,Implementação do PPSI,1.0,Segurança e Privacidade,Segurança e Privacidade,30/06/2026,high
ANAC,PPSI Ciclo 7,"Auto-avaliação, análise de lacunas e planejamento do PPSI","Auto-avaliação, análise de lacunas e planejamento do PPSI",1.0,Segurança e Privacidade,Segurança e Privacidade,28/02/2026,high
ANAC,PPSI Ciclo 7,Implementação do PPSI,Implementação do PPSI,1.0,Segurança e Privacidade,Segurança e Privacidade,31/12/2026,high
