sigla,tipo,data_criacao_pdf,data_modificacao_pdf,vigencia,tamanho_kb
ABIN,entregas,2025-04-07,2026-09-02,,293
AEB,diretivo,2025-04-29,2026-09-02,,1014
AEB,entregas,2025-04-01,2026-09-02,,96
AGU,diretivo,2025-07-16,2026-09-02,,2904
AGU,entregas,2025-07-10,2026-09-02,,467
ANA,diretivo,2025-10-28,2026-09-02,,477
ANA,entregas,2025-09-05,2026-09-02,,170
ANAC,diretivo,2026-01-08,2026-09-02,,1036
ANAC,entregas,2025-11-28,2026-09-02,,215
ANATEL,diretivo,2025-03-07,2026-09-02,,1005
ANATEL,entregas,2024-12-26,2026-09-02,,114
ANCINE,diretivo,2025-07-04,2026-09-02,,961
ANCINE,entregas,2024-12-19,2026-09-02,,555
ANEEL,diretivo,2026-02-13,2026-09-02,,779
ANEEL,entregas,2026-02-05,2026-09-02,,111
ANM,diretivo,2026-01-08,2026-09-02,,1092
ANM,entregas,2026-01-07,2026-09-02,,1140
ANP,diretivo,2026-06-26,2026-09-02,,1057
ANP,entregas,2026-06-17,2026-09-02,,3373
ANPD,diretivo,2025-10-31,2026-09-02,,1044
ANPD,entregas,2025-07-04,2026-09-02,,109
ANS,diretivo,2025-06-17,2026-09-02,,1023
ANS,entregas,2024-12-20,2026-09-02,,689
ANTAQ,diretivo,2025-10-21,2026-09-02,,240
ANTAQ,entregas,2025-10-07,2026-09-02,,87
ANTT,diretivo,2026-05-16,2026-09-02,,527
ANTT,entregas,2025-03-21,2026-09-02,,85
ANVISA,diretivo,2025-05-26,2026-09-02,,5754
ANVISA,entregas,2025-05-19,2026-09-02,,181
BCB,diretivo,2025-04-30,2026-09-02,,695
BCB,entregas,2025-03-19,2026-09-02,,134
CADE,diretivo,2025-04-08,2026-09-02,,792
CADE,entregas,2025-03-28,2026-09-02,,504
CAPES,diretivo,2025-03-17,2026-09-02,,1616
CAPES,entregas,2025-03-11,2026-09-02,,495
CENSIPAM,diretivo,2026-01-02,2026-09-02,,579
CENSIPAM,entregas,2025-11-16,2026-09-02,,186
CGU,diretivo,2025-04-24,2026-09-02,,1067
CGU,entregas,2025-03-28,2026-09-02,,456
CNPQ,diretivo,2025-07-15,2026-09-02,,342
CNPQ,entregas,2025-07-17,2026-09-02,,136
COAF,diretivo,2025-05-06,2026-09-02,,1101
COAF,entregas,2025-05-05,2026-09-02,,3126
CODEVASF,diretivo,2025-10-28,2026-09-02,,3864
CODEVASF,entregas,2025-10-21,2026-09-02,,1122
CONAB,diretivo,2025-12-11,2026-09-02,,955
CONAB,entregas,2025-01-07,2026-09-02,,681
CVM,diretivo,2025-10-28,2026-09-02,,270
CVM,entregas,2025-08-17,2026-09-02,,408
DNOCS,diretivo,2025-04-01,2026-09-02,,873
DNOCS,entregas,2025-03-28,2026-09-02,,149
FBN,diretivo,2025-09-03,2026-09-02,,2921
FBN,entregas,2025-07-21,2026-09-02,,162
FCP,diretivo,2025-09-03,2026-09-02,,1611
FCP,entregas,2025-07-28,2026-09-02,,60
FCRB,diretivo,2025-04-29,2026-09-02,,980
FCRB,entregas,2025-04-01,2026-09-02,,254
FIOCRUZ,diretivo,2025-07-04,2026-09-02,,1318
FIOCRUZ,entregas,2025-01-10,2026-09-02,,257
FUNAI,diretivo,2025-08-04,2026-09-02,,1059
FUNAI,entregas,2025-07-09,2026-09-02,,84
FUNARTE,diretivo,2025-03-07,2026-09-02,,965
FUNARTE,entregas,2025-01-13,2026-09-02,,683
FUNDACENTRO,diretivo,2025-11-12,2026-09-02,,808
FUNDACENTRO,entregas,2025-11-11,2026-09-02,,577
IBAMA,diretivo,2025-03-07,2026-09-02,,949
IBAMA,entregas,2025-01-28,2026-09-02,,174
IBGE,diretivo,2025-07-04,2026-09-02,,1167
IBGE,entregas,2025-03-19,2026-09-02,,143
INCRA,diretivo,2025-07-04,2026-09-02,,7181
INCRA,entregas,2025-04-17,2026-09-02,,1760
INMETRO,diretivo,2026-06-29,2026-09-02,,946
INMETRO,entregas,2026-04-30,2026-09-02,,94
INPI,diretivo,2024-12-23,2026-09-02,,3322
INPI,entregas,2024-12-23,2026-09-02,,3078
INSS,diretivo,2025-12-18,2026-09-02,,1173
INSS,entregas,2025-11-17,2026-09-02,,110
IPHAN,diretivo,2025-03-07,2026-09-02,,885
IPHAN,entregas,2024-12-13,2026-09-02,,310
ITI,diretivo,2026-01-02,2026-09-02,,4905
ITI,entregas,2025-12-29,2026-09-02,,556
MAPA,diretivo,2025-09-03,2026-09-02,,1740
MAPA,entregas,2025-07-22,2026-09-02,,261
MCOM,diretivo,2025-12-03,2026-09-02,,4451
MCOM,entregas,2025-01-13,2026-09-02,,1029
MCTI,diretivo,2025-11-07,2026-09-02,,1030
MCTI,entregas,2025-11-06,2026-09-02,,145
MDHC,diretivo,2025-08-28,2026-09-02,,948
MDHC,entregas,2025-08-15,2026-09-02,,129
MDIC,entregas,2024-12-30,2026-09-02,,176
MEMP,diretivo,2025-07-04,2026-09-02,,1011
MEMP,entregas,2025-06-13,2026-09-02,,102
MESP,diretivo,2025-09-23,2026-09-02,,1134
MESP,entregas,2025-09-23,2026-09-02,,168
MF,diretivo,2026-04-02,2026-09-02,,955
MF,entregas,2026-01-07,2026-09-02,,241
MGI,diretivo,2026-01-02,2026-09-02,,375
MGI,entregas,2025-12-18,2026-09-02,,256
MINC,diretivo,2025-04-10,2026-09-02,,845
MINC,entregas,2025-03-28,2026-09-02,,218
MJSP,diretivo,2025-03-07,2026-09-02,,954
MJSP,entregas,2024-12-19,2026-09-02,,253
MME,diretivo,2025-07-29,2026-09-02,,664
MME,entregas,2025-07-17,2026-09-02,,111
MMULHERES,diretivo,2025-11-07,2026-09-02,,1060
MMULHERES,entregas,2025-09-29,2026-09-02,,158
MPA,diretivo,2026-05-26,2026-09-02,,1016
MPA,entregas,2026-05-21,2026-09-02,,77
MPI,diretivo,2026-04-17,2026-09-02,,1020
MPI,entregas,2026-02-06,2026-09-02,,251
MPO,diretivo,2025-03-07,2026-09-02,,806
MPO,entregas,2024-12-16,2026-09-02,,323
MPOR,diretivo,2026-01-08,2026-09-02,,876
MPOR,entregas,2025-11-17,2026-09-02,,175
MPS,diretivo,2025-04-10,2026-09-02,,999
MPS,entregas,2025-04-07,2026-09-02,,107
MRE,diretivo,2025-03-10,2026-09-02,,760
MRE,entregas,2024-12-13,2026-09-02,,233
MS,diretivo,2026-06-02,2026-09-02,,1171
MS,entregas,2026-03-17,2026-09-02,,108
MTE,diretivo,2025-07-17,2026-09-02,,711
MTE,entregas,2024-12-27,2026-09-02,,459
MTUR,diretivo,2025-03-10,2026-09-02,,1050
MTUR,entregas,2025-01-30,2026-09-02,,118
PF,diretivo,2025-08-08,2026-09-02,,964
PF,entregas,2025-07-22,2026-09-02,,62
PGFN,entregas,2026-02-12,2026-09-02,,466
PREVIC,diretivo,2025-07-04,2026-09-02,,6652
PREVIC,entregas,2025-02-12,2026-09-02,,182
PRF,diretivo,2026-04-02,2026-09-02,,535
PRF,entregas,2026-09-02,2026-09-02,,157
SGPR,diretivo,2026-04-17,2026-09-02,,874
SGPR,entregas,2026-01-22,2026-09-02,,957
SUSEP,diretivo,2026-05-16,2026-09-02,,1101
SUSEP,entregas,2024-12-30,2026-09-02,,274
