orgao_sigla,entry_type,field,original_value,current_value,eixo_original,eixo_normalizado,confidence,review_reason,servico_acao,tabela_tipo
ABIN,delivery,produto / eixo,Outros,Outros,Projetos Especiais,Projetos Especiais,high,produto Outros,Implantar RDC-Arq,pactuada
ABIN,delivery,produto / eixo,Outros,Outros,Unificação de Canais Digitais,Projetos Especiais,high,produto Outros; eixo corrigido: 'Unificação de Canais Digitais' → 'Projetos Especiais',Implantar o Design System Gov.br no pipeline de desenvolvimento da ABIN,pactuada
ABIN,delivery,produto / eixo,Outros,Outros,Projetos Especiais,Projetos Especiais,high,produto Outros,P0.1 – Criar e validar ontologia de inteligência,pactuada
ABIN,delivery,produto / eixo,Outros,Outros,Projetos Especiais,Projetos Especiais,high,produto Outros,P0.2 – Realizar adequações de procedimentos relativos à Lei de Acesso à Informação,pactuada
ABIN,delivery,produto / eixo,Outros,Outros,Serviços Digitais e Melhoria da Qualidade,Projetos Especiais,high,produto Outros; eixo corrigido: 'Serviços Digitais e Melhoria da Qualidade' → 'Projetos Especiais',"P1 - Desenvolver e prover plataforma de inteligência para o Sistema Brasileiro de Inteligência – Sisbin, ofertada por meio do portal Gov.br",pactuada
ABIN,delivery,produto / eixo,Outros,Outros,Projetos Especiais,Projetos Especiais,high,produto Outros,Realizar letramento digital e em dados de grupos prioritários na ABIN,pactuada
ANA,delivery,produto / eixo,Outros,Outros,Projetos Especiais,Projetos Especiais,high,produto Outros,"Hidro Observa- Ferramenta de suporte aos observadores hidrometeorológicos na coleta e envio de dados e medições de chuva, nível, vazão e qualidade da água das estações de monitoramento da Rede Hidrológica Nacional.",pactuada
ANA,delivery,produto / eixo,Outros,Outros,Projetos Especiais,Projetos Especiais,high,produto Outros,Implantação do SEI na ANA,pactuada
ANA,delivery,produto / eixo,Outros,Outros,Projetos Especiais,Projetos Especiais,high,produto Outros,Implantação dos Sistema Integrado e de Gestão Patrimonial - SIADS - Implantação de sistema estruturante de governo,pactuada
ANA,delivery,produto / eixo,Outros,Outros,Projetos Especiais,Projetos Especiais,high,produto Outros,"Rede Analytics - Ambiente colaborativo e informativo para oferecer um conjunto de ferramentas, treinamentos e boas práticas que permitem que todos possam acessar e analisar dados de forma autônoma.",pactuada
ANA,delivery,produto / eixo,Outros,Outros,Projetos Especiais,Projetos Especiais,high,produto Outros,"Self-Service BI - Criação da arquitetura analítica, definindo processos para promover a cultura de self-service BI na Agência",pactuada
ANA,delivery,produto / eixo,Outros,Outros,Projetos Especiais,Projetos Especiais,high,produto Outros,Sistema Nacional de Informações sobre Segurança de Barragens - SNISB - Ideação e prototipação de solução dos módulos Fiscalizador e Empreendedor,pactuada
ANA,delivery,produto / eixo,Outros,Outros,Projetos Especiais,Projetos Especiais,high,produto Outros,Sistema de Acompanhametno da Regulação do Saneamento Básico - SASB - NR 02 - Padronização dos aditivos aos contratos de programas de concessão para prestação de serviços de água potável e esgotamento sanitário.,pactuada
ANA,delivery,produto / eixo,Outros,Outros,Projetos Especiais,Projetos Especiais,high,produto Outros,Sistema de Aconpanhametno da Regulação do Saneamento Básico - SASB - Adequações da NR 02 - Padronização dos aditivos aos contratos de programas de concessão para prestação de serviços de água potável e esgotamento sanitário.,pactuada
ANA,delivery,produto / eixo,Outros,Outros,Projetos Especiais,Projetos Especiais,high,produto Outros,Sistema de Aconpanhametno da Regulação do Saneamento Básico - SASB -Resolução 134/2022 - Monitoramento das Normas de Referência.,pactuada
ANA,delivery,produto / eixo,Outros,Outros,Projetos Especiais,Projetos Especiais,high,produto Outros,"Sistema de Aconpanhametno da Regulação do Saneamento Básico - SASB: cadastro de ERIs, Titular e Fiscalizador para atendimento às NRs 02 e 03",pactuada
ANA,delivery,produto / eixo,"Auto-avaliação, análise de lacunas e planejamento","Auto-avaliação, análise de lacunas e planejamento do PPSI",Segurança e Privacidade,Segurança e Privacidade,medium,fuzzy=0.92,PPSI Ciclo 5,pactuada
ANA,delivery,produto / eixo,"Auto-avaliação, análise de lacunas e planejamento","Auto-avaliação, análise de lacunas e planejamento do PPSI",Segurança e Privacidade,Segurança e Privacidade,medium,fuzzy=0.92,PPSI Ciclo 6,pactuada
ANA,delivery,produto / eixo,"Auto-avaliação, análise de lacunas e planejamento","Auto-avaliação, análise de lacunas e planejamento do PPSI",Segurança e Privacidade,Segurança e Privacidade,medium,fuzzy=0.92,PPSI Ciclo 7,pactuada
