priority,orgao,type,issue,original_value,current_value,confidence
1,AGU,error (diretivo),[extraction] no_risk_table: Nenhuma tabela de risco encontrada em AGU_diretivo.pdf,,,failed
1,ANVISA,error (diretivo),[extraction] no_risk_table: Nenhuma tabela de risco encontrada em ANVISA_diretivo.pdf,,,failed
1,CODEVASF,error (diretivo),[extraction] no_risk_table: Nenhuma tabela de risco encontrada em CODEVASF_diretivo.pdf,,,failed
1,FBN,error (diretivo),[extraction] no_risk_table: Nenhuma tabela de risco encontrada em FBN_diretivo.pdf,,,failed
1,FCP,error (diretivo),[extraction] no_risk_table: Nenhuma tabela de risco encontrada em FCP_diretivo.pdf,,,failed
1,INCRA,error (diretivo),[extraction] no_risk_table: Nenhuma tabela de risco encontrada em INCRA_diretivo.pdf,,,failed
1,ITI,error (diretivo),[extraction] no_risk_table: Nenhuma tabela de risco encontrada em ITI_diretivo.pdf,,,failed
1,MAPA,error (diretivo),[extraction] no_risk_table: Nenhuma tabela de risco encontrada em MAPA_diretivo.pdf,,,failed
1,MCOM,error (diretivo),[extraction] no_risk_table: Nenhuma tabela de risco encontrada em MCOM_diretivo.pdf,,,failed
1,PREVIC,error (diretivo),[extraction] no_risk_table: Nenhuma tabela de risco encontrada em PREVIC_diretivo.pdf,,,failed
2,CADE,risk,recuperado de header de coluna; probabilidade não reconhecida (score: 0.40),P:1-Alto | I:2-Alto | T:3-Mitigar,P:1-Alto | I:alto | T:mitigar,low
2,CADE,risk,probabilidade: 'Médio'; probabilidade: column-shift (casa em 'impacto'); probabilidade não reconhecida (score: 0.26),P:Médio | I:Alto | T:Transferir,P:Médio | I:alto | T:transferir,low
2,CAPES,risk,risco vazio; probabilidade não reconhecida (score: 0.00),P: | I:muito baixo; | T:,P: | I:muito baixo | T:,low
2,CAPES,risk,impacto não reconhecido (score: 0.00),P: | I: | T:,P: | I: | T:,low
2,DNOCS,risk,tratamento: bleed de coluna (45 chars); tratamento 'Avaliar o impacto de cada cenário no Plano de' não reconhecido (score: 0.23),P:Pouco provável | I:Alto | T:Avaliar o impacto de cada cenário no Plano de,P:pouco provável | I:alto | T:Avaliar o impacto de cada cenário no Plano de,low
2,DNOCS,risk,impacto: 'Investir em programas de capacitação e t'; impacto: bleed de coluna (157 chars); impacto: bleed de coluna (157 chars); impacto não reconhecido (score: 0.10),"P:Provável | I:Investir em programas de capacitação e treinamento para as equipes de TI existentes, aprimorando suas habilidades e conheciment os em tecnologias emergentes. | T:Mitigar","P:provável | I:Investir em programas de capacitação e treinamento para as equipes de TI existentes, aprimorando suas habilidades e conheciment os em tecnologias emergentes. | T:mitigar",low
2,DNOCS,risk,impacto: 'Desenvolver planos de contingência detal'; impacto: bleed de coluna (100 chars); impacto não reconhecido (score: 0.09),P:Muito provável | I:Desenvolver planos de contingência detalhados para lidar com falhas ou interrupções nos serviços dos | T:Mitigar,P:muito provável | I:Desenvolver planos de contingência detalhados para lidar com falhas ou interrupções nos serviços dos | T:mitigar,low
2,DNOCS,risk,impacto: 'estabelecer canais de comunicação direta'; impacto: bleed de coluna (109 chars); impacto: bleed de coluna (109 chars); impacto não reconhecido (score: 0.17),P:Pouco provável | I:estabelecer canais de comunicação direta para garantir o alinhamento de expectativas e a troca de informações | T:Mitigar,P:pouco provável | I:estabelecer canais de comunicação direta para garantir o alinhamento de expectativas e a troca de informações | T:mitigar,low
2,DNOCS,risk,impacto: 'Documentar e comunicar claramente o impa'; impacto: bleed de coluna (150 chars); impacto: bleed de coluna (150 chars); impacto não reconhecido (score: 0.12),"P:Pouco provável | I:Documentar e comunicar claramente o impacto de qualquer mudança estratégica no PTD, buscando soluções colaborativas para minimizar os efeitos adversos | T:Mitigar","P:pouco provável | I:Documentar e comunicar claramente o impacto de qualquer mudança estratégica no PTD, buscando soluções colaborativas para minimizar os efeitos adversos | T:mitigar",low
2,DNOCS,risk,"impacto: 'Implantar controles de acesso rigorosos,'; impacto: bleed de coluna (97 chars); impacto não reconhecido (score: 0.15)","P:Pouco Provável | I:Implantar controles de acesso rigorosos, limitando o acesso a dados apenas a usuários autorizados | T:Mitigar","P:pouco provável | I:Implantar controles de acesso rigorosos, limitando o acesso a dados apenas a usuários autorizados | T:mitigar",low
2,DNOCS,risk,impacto: 'Implementar um sistema de gestão do conh'; impacto: bleed de coluna (105 chars); impacto: bleed de coluna (105 chars); impacto não reconhecido (score: 0.09),"P:Provável | I:Implementar um sistema de gestão do conheciment o para documentar e compartilhar as melhores práticas, os | T:Mitigar","P:provável | I:Implementar um sistema de gestão do conheciment o para documentar e compartilhar as melhores práticas, os | T:mitigar",low
2,INMETRO,risk,probabilidade: 'Medio'; probabilidade: column-shift (casa em 'impacto'); probabilidade não reconhecida (score: 0.26),P:Medio | I:Médio | T:Mitigar,P:Medio | I:médio | T:mitigar,low
2,MJSP,risk,probabilidade: 'rência'; risco vazio; probabilidade não reconhecida (score: 0.40),P:rência | I: | T:,P:rência | I: | T:,low
2,MMULHERES,risk,tratamento: bleed de coluna (165 chars); tratamento: bleed de coluna (165 chars); tratamento '- Sensibilização para apoio da alta administração' não reconhecido (score: 0.25); tratamento '| - Alinhamento contínuo com as diretrizes do governo. | - Monitoramento das propostas legislativas e participação' não reconhecido (score: 0.11); tratamento múltiplo/composto ('- Sensibilização para apoio da alta admi'),P:Pouco Provável | I:Alto | T:- Sensibilização para apoio da alta administração; | - Alinhamento contínuo com as diretrizes do governo. | - Monitoramento das propostas legislativas e participação,P:pouco provável | I:alto | T:- Sensibilização para apoio da alta administração; | - Alinhamento contínuo com as diretrizes do governo. | - Monitoramento das propostas legislativas e participação,low
2,MMULHERES,risk,tratamento: bleed de coluna (70 chars); tratamento 'orçamento digital. | - Adoção de princípios de acessibilidade digital' não reconhecido (score: 0.16),P:provável Muito | I:Alto | T:orçamento digital. | - Adoção de princípios de acessibilidade digital;,P:muito provável | I:alto | T:orçamento digital. | - Adoção de princípios de acessibilidade digital,low
2,MMULHERES,risk,tratamento: bleed de coluna (115 chars); tratamento: bleed de coluna (115 chars); tratamento '- Parcerias estratégicas para expansão da infraestrutura | digital. | - Criação de estratégias de acesso inclusivo' não reconhecido (score: 0.12),P:Provável Muito | I:Médio Muito | T:- Parcerias estratégicas para expansão da infraestrutura | digital. | - Criação de estratégias de acesso inclusivo;,P:muito provável | I:médio | T:- Parcerias estratégicas para expansão da infraestrutura | digital. | - Criação de estratégias de acesso inclusivo,low
2,MMULHERES,risk,tratamento: bleed de coluna (121 chars); tratamento: bleed de coluna (121 chars); tratamento 'acessibilidade' não reconhecido (score: 0.48); tratamento '| - Campanhas de conscientização. | - Aprimoramento das políticas de conformidade com a | LGPD e ao PPSI' não reconhecido (score: 0.13); tratamento múltiplo/composto ('acessibilidade; | - Campanhas de conscie'),P:provável Pouco | I:alto Muito | T:acessibilidade; | - Campanhas de conscientização. | - Aprimoramento das políticas de conformidade com a | LGPD e ao PPSI;,P:pouco provável | I:muito alto | T:acessibilidade; | - Campanhas de conscientização. | - Aprimoramento das políticas de conformidade com a | LGPD e ao PPSI,low
2,MMULHERES,risk,tratamento: bleed de coluna (152 chars); tratamento: bleed de coluna (152 chars); tratamento '- Implementação de protocolos avançados de proteção' não reconhecido (score: 0.23); tratamento '| - Monitoramento contínuo de ameaças. | - Sensibilização da alta administração para priorização de' não reconhecido (score: 0.15); tratamento múltiplo/composto ('- Implementação de protocolos avançados '),P:Provável Pouco | I:alto | T:- Implementação de protocolos avançados de proteção; | - Monitoramento contínuo de ameaças. | - Sensibilização da alta administração para priorização de,P:pouco provável | I:alto | T:- Implementação de protocolos avançados de proteção; | - Monitoramento contínuo de ameaças. | - Sensibilização da alta administração para priorização de,low
2,MMULHERES,risk,tratamento: bleed de coluna (162 chars); tratamento: bleed de coluna (162 chars); tratamento '- Desenvolvimento de soluções internas' não reconhecido (score: 0.30); tratamento '| - Planejamento de migração tecnológica sustentável. | - Reuniões estratégicas de alinhamento com a alta | administração' não reconhecido (score: 0.11); tratamento múltiplo/composto ('- Desenvolvimento de soluções internas; '),P:provável Pouco | I:Médio | T:- Desenvolvimento de soluções internas; | - Planejamento de migração tecnológica sustentável. | - Reuniões estratégicas de alinhamento com a alta | administração;,P:pouco provável | I:médio | T:- Desenvolvimento de soluções internas; | - Planejamento de migração tecnológica sustentável. | - Reuniões estratégicas de alinhamento com a alta | administração,low
2,MMULHERES,risk,tratamento: bleed de coluna (130 chars); tratamento: bleed de coluna (130 chars); tratamento '- Desenvolvimento de plataformas adaptáveis a diferentes | contextos socioculturais. | - Sensibilização e capacitação das equipes' não reconhecido (score: 0.10),P:provável Muito | I:alto | T:- Desenvolvimento de plataformas adaptáveis a diferentes | contextos socioculturais. | - Sensibilização e capacitação das equipes;,P:muito provável | I:alto | T:- Desenvolvimento de plataformas adaptáveis a diferentes | contextos socioculturais. | - Sensibilização e capacitação das equipes,low
2,MMULHERES,risk,tratamento: bleed de coluna (138 chars); tratamento: bleed de coluna (138 chars); tratamento '- Estratégias de governança de dados eficazes' não reconhecido (score: 0.25); tratamento '| - Adoção de protocolos de segurança cibernética. | - Capacitação contínua dos servidores' não reconhecido (score: 0.16); tratamento múltiplo/composto ('- Estratégias de governança de dados efi'),P:Provável | I:alto | T:- Estratégias de governança de dados eficazes; | - Adoção de protocolos de segurança cibernética. | - Capacitação contínua dos servidores;,P:provável | I:alto | T:- Estratégias de governança de dados eficazes; | - Adoção de protocolos de segurança cibernética. | - Capacitação contínua dos servidores,low
2,MMULHERES,risk,tratamento: bleed de coluna (106 chars); tratamento: bleed de coluna (106 chars); tratamento '- Parcerias interministeriais para alinhamento técnico. | - Documentação robusta dos processos e entregas' não reconhecido (score: 0.12),P:Provável Pouco | I:Alto | T:- Parcerias interministeriais para alinhamento técnico. | - Documentação robusta dos processos e entregas;,P:pouco provável | I:alto | T:- Parcerias interministeriais para alinhamento técnico. | - Documentação robusta dos processos e entregas,low
2,MMULHERES,risk,tratamento: bleed de coluna (112 chars); tratamento: bleed de coluna (112 chars); tratamento '- Fortalecimento da institucionalização das políticas | digitais. | - Mapeamento e priorização de investimentos' não reconhecido (score: 0.13),P:Provável | I:Alto | T:- Fortalecimento da institucionalização das políticas | digitais. | - Mapeamento e priorização de investimentos;,P:provável | I:alto | T:- Fortalecimento da institucionalização das políticas | digitais. | - Mapeamento e priorização de investimentos,low
