orgao_sigla,risco_texto,probabilidade_original,probabilidade_normalizada,impacto_original,impacto_normalizado,tratamento_original,tratamento_normalizado,acoes_tratamento,extraction_confidence,needs_review,review_reason
AEB,A,Pouco provável,pouco provável,Médio,médio,Mitigar,mitigar,,high,False,
AEB,B,Pouco provável,pouco provável,Alto,alto,Aceitar,aceitar,,high,False,
AEB,C,Pouco provável,pouco provável,Alto,alto,Mitigar/Tra nsferir,mitigar; transferir,,high,False,
AEB,D,Pouco provável,pouco provável,Médio,médio,Mitigar/Tra nsferir,mitigar; transferir,,high,False,
AEB,E,Raro,raro,Baixo,baixo,Mitigar,mitigar,,high,False,
AEB,F,Pouco provável,pouco provável,Média,médio,Aceitar,aceitar,,medium,True,impacto fuzzy (0.80)
AEB,G,Pouco provável,pouco provável,Alta,alto,Mitigar,mitigar,,medium,True,impacto fuzzy (0.75)
AEB,H,Pouco provável,pouco provável,Alto,alto,Aceitar,aceitar,,high,False,
AEB,I,Pouco provável,pouco provável,Médio,médio,Mitigar,mitigar,,high,False,
AEB,J,Pouco provável,pouco provável,Média,médio,Aceitar,aceitar,,medium,True,
AEB,K,Raro,raro,Média,médio,Transferir,transferir,,medium,True,
AEB,L,Raro,raro,Baixo,baixo,Mitigar,mitigar,,high,False,
AEB,N,Ocorrência de problemas de funcionamento do serviço público transformado digitalmente,Ocorrência de problemas de funcionamento do serviço público transformado digitalmente,Pouco provável,Pouco provável,Média,Média,Mitigar/Tra nsferir,low,True,probabilidade: 'Ocorrência de problemas de funcionamento do serviço público transformado digitalmente'; impacto: 'Pouco provável'; probabilidade não reconhecida (score: 0.25); impacto não reconhecido (score: 0.33); tratamento 'Média' não reconhecido (score: 0.50)
AEB,O,Ataques cibernéticos,Ataques cibernéticos,Provável,Provável,Alto,Alto,Mitigar/Tra nsferir,low,True,probabilidade: 'Ataques cibernéticos'; impacto: 'Provável'; probabilidade não reconhecida (score: 0.26); impacto não reconhecido (score: 0.33); tratamento 'Alto' não reconhecido (score: 0.36)
ANA,5.1 Perda de confiança das partes interessadas,,,,,,,,low,True,probabilidade não reconhecida (score: 0.00); impacto não reconhecido (score: 0.00)
ANA,5.2 Indisponibilidade dos sistemas e soluções providos pela SGD,,,,,,,,low,True,
ANA,5.3 Capacidade institucional de execução do plano de transformação digital,,,,,,,,low,True,
ANA,5.4 Dependência de fornecedores,,,,,,,,low,True,
ANA,5.5 Indisponibilidade das equipes de TI para executar a transformação digital,Muito provável,muito provável,Muito alto,muito alto,Mitigar,mitigar,A4 - Prospecção de formas alternativas para a composição da força de trabalho; A5 - Utilizar melhores práticas de gerenciamento de projetos registrando as etapas; e A23 - Alinhamento interno quanto a critérios para simplificação e priorização dos processos e serviços constantes do plano digital.,high,False,
